00003000	34040100
00003004	34850123
00003008	3c0601c8
0000300c	3c07ffff
00003010	34e7ffff
00003014	00868021
00003018	00878821
0000301c	00e7a021
00003020	00869023
00003024	00879823
00003028	ac040000
0000302c	ac050004
00003030	ac060008
00003034	ac07000c
00003038	ac100010
0000303c	ac110014
00003040	ac120018
00003044	ac13002c
00003048	ac140030
0000304c	8c040000
00003050	8c05000c
00003054	ac04001c
00003058	ac050020
0000305c	34040001
00003060	34050002
00003064	34060001
00003068	10850001
00003070	ad040024
00003074	ad050028
00003078	0c000c23
0000308c	ad050038
00003090	ad1f003c
00003094	36b50005
00003098	03e00008
0000309c	ad050044
000030a0	ad1f0048
